symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,1000,-0.2832102573234437,439830.5778230002,71.70033551576067,-20.306270471595827,-203.0627047159583,200.73032026959174,14392.431311515822,14392431.311515821
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,100000,-1.494029969542863,440527.12318281794,71.58696557013725,-106.95307199041812,-106953.07199041812,137.9377011949286,9874.541466265233,987454146.6265233
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,200000,-1.7377702799815735,438561.9675764767,71.90774014050987,-124.95913371681607,-249918.26743363214,117.83791700738011,8473.458314865658,1694691662.9731317
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,300000,-1.9325157409693794,441246.0165048106,71.47033360165459,-138.11754469753026,-414352.63409259083,106.76962666236047,7630.860836083017,2289258250.824905
BTCUSDC,Fixed volumes with 0.1% percent thresholds,0,500000,-2.1560585350368497,441816.0205703526,71.37812693910307,-153.89541980199687,-769477.0990099843,92.77545346563413,6622.138094302883,3311069047.151441
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,1000,-0.006683001439640868,2019.9233378392685,15612.47370592508,-104.3381842530525,-1043.381842530525,2.0,31224.94741185016,31224947.41185016
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,100000,-0.03170522821265614,2533.602018164921,12447.100915573716,-394.6381751142259,-394638.1751142259,2.0,24894.20183114743,2489420183.114743
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,200000,-0.046211905233056794,3041.795466283269,10367.560984806594,-479.1047457278193,-958209.4914556385,2.0,20735.12196961319,4147024393.9226375
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,300000,-0.05563428468932834,3210.1587477011185,9823.813237455557,-546.5408223873948,-1639622.4671621844,2.0,19647.626474911114,5894287942.473334
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),-1,500000,-0.07318272342896466,3510.810913857558,8982.54015205545,-657.3667516374443,-3286833.7581872214,2.0,17965.0803041109,8982540152.05545
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,1000,-0.007125957092382813,2086.6326360916296,15113.345518772558,-107.69705168912931,-1076.970516891293,2.0,30226.691037545115,30226691.037545115
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,100000,-0.03326731837742684,2955.2742692873917,10671.09077750821,-354.9985743297889,-354998.5743297889,2.0,21342.18155501642,2134218155.501642
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,200000,-0.04374880559383749,3342.761515628982,9434.116030280464,-412.73130815844587,-825462.6163168917,2.0,18868.232060560927,3773646412.1121855
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,300000,-0.05167037513975132,3654.4492119714446,8629.480989007221,-445.88851996335535,-1337665.559890066,2.0,17258.961978014442,5177688593.404333
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides),1,500000,-0.06683242729674918,4084.8610197178036,7720.213698281127,-515.9606207057406,-2579803.1035287026,2.0,15440.427396562254,7720213698.281127
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,1000,-0.006428487663835433,1834.8398783391622,17187.330825044726,-110.48854418305851,-1104.885441830585,2.0,34374.66165008945,34374661.65008945
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,100000,-0.03222340511847634,2685.4165952250105,11743.429327157191,-378.4132806891822,-378413.2806891822,2.0,23486.858654314383,2348685865.4314384
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,200000,-0.043400093190522696,2950.21983777688,10689.372905770899,-463.9197802587055,-927839.560517411,2.0,21378.745811541798,4275749162.3083596
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,300000,-0.054024618188905624,3068.4940428797227,10277.354154614577,-555.2301341952154,-1665690.4025856461,2.0,20554.708309229154,6166412492.768746
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),-1,500000,-0.0724118068457843,3693.813440708397,8537.518341465575,-618.217129084546,-3091085.6454227297,2.0,17075.03668293115,8537518341.465575
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,1000,-0.0055852782130001635,2387.7621709083214,13207.345515488874,-73.76669915922544,-737.6669915922544,2.0,26414.69103097775,26414691.03097775
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,100000,-0.029126680186485093,2881.3708344784172,10944.790452739006,-318.78541122502446,-318785.41122502444,2.0,21889.58090547801,2188958090.547801
BTCUSDC,Fixed volumes with 1 unit thresholds (separate sides),1,200000,-0.04313375247679008,3333.4626756802904,9460.432909621271,-408.0639714468829,-816127.9428937658,2.0,18920.865819242543,3784173163.8485084
