symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year,avg_pos_pnl_pct,avg_neg_pnl_pct,positive_share,negative_share,zero_share,avg_pos_duration_s,avg_neg_duration_s,avg_zero_duration_s,avg_chases_pos,avg_chases_neg,avg_chases_zero
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,-0.7196306631564306,449065.7357691304,70.22579878196942,-50.53663814815871,-5053.663814815871,187.0487542835973,13135.648180737944,131356481.80737944,2.8699424042425012,-4.649628502163325,0.5226359173844587,0.47736408261554136,0.0,291900.16907552857,621136.4321652665,0.0,77.9963848375835,306.4433363729846,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,20000,-0.9546387851955755,451479.63433779625,69.85032679548247,-66.68183111755334,-13336.36622351067,178.19873953844592,12447.240191303512,248944803.82607025,2.8622431880987085,-4.8748263757458465,0.5066760170891274,0.49332398291087265,0.0,290088.87448206154,617238.507271945,0.0,71.63121471498816,287.65056207096495,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,-1.10917731871772,452600.2756443759,69.67737691962644,-77.28456610699521,-23185.369832098564,171.2100772417087,11929.469084408893,357884072.5322668,2.8589675039826226,-4.9935886601538835,0.4946683933540903,0.5053316066459097,0.0,288685.00636753376,613056.7003623227,0.0,67.56501234705435,272.66808433296984,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,40000,-1.1674515729590367,451608.45486879366,69.83040211052335,-81.52361278429252,-32609.44511371701,164.1268804707749,11461.046060420013,458441842.4168005,2.864299910592363,-5.0680184015788035,0.4917310015956907,0.5082689984043093,0.0,284871.00068875676,612920.6254022503,0.0,63.97921668667467,261.01595136557484,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,-1.2431136094484962,451162.66399452486,69.89940107362854,-86.89289676692647,-43446.44838346324,158.94620016092784,11110.244194177936,555512209.7088968,2.8598261451592677,-5.127896766855123,0.48634425607872517,0.5136557439212749,0.0,285403.2733533707,608108.4949006627,0.0,61.47022915280023,251.2392956174151,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,60000,-1.3295642335083173,449022.5719789924,70.23254947075449,-93.37868580441868,-56027.211482651204,154.28968502486646,10836.157936336062,650169476.1801637,2.8453101613251355,-5.195057028426657,0.4807607294160987,0.5192392705839013,0.0,286010.87246629375,599954.1906005072,0.0,59.17687400624509,242.35410347824543,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,-1.3524741567617213,448505.7748735865,70.31347591653324,-95.0971590491989,-66568.01133443923,149.4928128002365,10511.35929252424,735795150.4766967,2.8501596111893797,-5.211485585833016,0.47868782795063186,0.5213121720493681,0.0,284234.6057543663,599345.546811894,0.0,57.57473416060366,233.89534121316296,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,80000,-1.4681931599033222,453838.36618484725,69.48729404502453,-102.02076981709587,-81616.61585367669,148.13816960785218,10293.72055083254,823497644.0666032,2.8359023163139034,-5.33617989737538,0.47331715911921257,0.5266828408807874,0.0,282368.57747765497,607934.127364259,0.0,55.64844374281315,231.2564542683995,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,-1.4597001548045248,448340.15403555555,70.33945033952735,-102.67450654947325,-92407.05589452593,143.64755555555556,10104.090100394496,909368109.0355047,2.855649848087927,-5.3096292491541766,0.4715,0.5285,0.0,282863.08488515764,595970.1220666106,0.0,54.41467342209654,223.25645607764812,0.0
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,-0.013455169684813782,1888.005064355301,16703.345025596438,-224.74634162339026,-22474.63416233903,2.0,33406.690051192876,334066900.51192874,0.25347502987449183,-0.04583286271273635,0.1080611270296084,0.8911938872970392,0.0007449856733524355,5628.985591656356,1435.942321730184,36.93715384615385,2.0,2.0,2.0
