symbol,conf,only_side,test_volume_usd,average_pnl_pct,average_position_duration_s,positions_per_year,cost_per_year_pct,cost_per_year_usd,avg_chases_per_position,avg_turnover_per_usd,avg_turnover_per_year
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,10000,-0.7196306631564308,449065.7357691303,70.22579878196944,-50.53663814815873,-5053.663814815873,187.0487542835973,13135.64818073795,131356481.8073795
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,20000,-0.9546387851955752,451479.63433779636,69.85032679548246,-66.6818311175533,-13336.36622351066,178.19873953844592,12447.240191303508,248944803.82607016
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,30000,-1.1091773187177194,452600.2756443758,69.67737691962644,-77.28456610699516,-23185.36983209855,171.2100772417087,11929.469084408893,357884072.5322668
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,40000,-1.1674515729590365,451608.45486879366,69.83040211052335,-81.52361278429251,-32609.445113717007,164.12688047077486,11461.04606042001,458441842.41680044
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,50000,-1.2431136094484962,451162.66399452474,69.89940107362855,-86.89289676692648,-43446.44838346324,158.94620016092784,11110.244194177938,555512209.7088969
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,60000,-1.3295642335083175,449022.5719789925,70.23254947075446,-93.37868580441867,-56027.2114826512,154.28968502486646,10836.157936336058,650169476.1801635
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,70000,-1.3524741567617216,448505.7748735865,70.31347591653324,-95.0971590491989,-66568.01133443923,149.4928128002365,10511.35929252424,735795150.4766967
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,80000,-1.4681931599033229,453838.36618484725,69.48729404502453,-102.0207698170959,-81616.61585367672,148.13816960785218,10293.72055083254,823497644.0666032
BTCUSDC,Fixed volumes with 0.1% percent thresholds (v2),0,90000,-1.4597001548045252,448340.1540355556,70.33945033952733,-102.67450654947328,-92407.05589452594,143.64755555555556,10104.090100394493,909368109.0355043
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,10000,-0.013455169684813787,1888.0050643553009,16703.345025596438,-224.74634162339035,-22474.634162339036,2.0,33406.690051192876,334066900.51192874
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,20000,-0.018128810026710084,2220.1108599329405,14204.69606682279,-257.5142364825863,-51502.847296517255,2.0,28409.39213364558,568187842.6729115
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,30000,-0.01836796410892658,2284.4885302347775,13804.402859820459,-253.5587762743457,-76067.6328823037,2.0,27608.805719640917,828264171.5892276
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,40000,-0.021451026507583078,2214.7371708625906,14239.161384426232,-305.4446283030805,-122177.85132123219,2.0,28478.322768852464,1139132910.7540987
BTCUSDC,Fixed volumes with 0.1% percent thresholds (separate sides) (v2),-1,50000,-0.022144763856979752,2477.517555610498,12728.87044880255,-281.8778302548203,-140938.91512741018,2.0,25457.7408976051,1272887044.880255
